target_id,sequence_cluster,length,tbm_base,allocation,best_tm,requested_T,requested_D,realized_T,realized_D,complete
R1108,seq_0f7467835a4eb605,69,J_SS_DEDUP_VIEW,3T+2D,0.60192,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_ALIGNMENT_43,5T,0.54223,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_ALIGNMENT_43,4T+1D,0.49184,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_ALIGNMENT_43,3T+2D,0.51489,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_GLOBAL_ONLY,5T,0.45138,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_GLOBAL_ONLY,4T+1D,0.49184,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_GLOBAL_ONLY,3T+2D,0.51489,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_FULL_4321,5T,0.45138,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_FULL_4321,4T+1D,0.49184,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,COMPOSITE_FULL_4321,3T+2D,0.51489,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,J_SS_DEDUP_VIEW,5T,0.53691,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,J_SS_DEDUP_VIEW,4T+1D,0.53691,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,J_SS_DEDUP_VIEW,3T+2D,0.53691,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_ALIGNMENT_43,5T,0.4442,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_ALIGNMENT_43,4T+1D,0.4442,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_ALIGNMENT_43,3T+2D,0.4442,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_GLOBAL_ONLY,5T,0.46162,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_GLOBAL_ONLY,4T+1D,0.46162,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_GLOBAL_ONLY,3T+2D,0.46162,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_FULL_4321,5T,0.46162,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_FULL_4321,4T+1D,0.46162,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,COMPOSITE_FULL_4321,3T+2D,0.46162,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_DEDUP_VIEW,5T,0.45269,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_DEDUP_VIEW,4T+1D,0.45269,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_DEDUP_VIEW,3T+2D,0.45269,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_ALIGNMENT_43,5T,0.1995,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_ALIGNMENT_43,4T+1D,0.31068,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_ALIGNMENT_43,3T+2D,0.34052,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_GLOBAL_ONLY,5T,0.1995,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_GLOBAL_ONLY,4T+1D,0.31068,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_GLOBAL_ONLY,3T+2D,0.34052,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_FULL_4321,5T,0.20228,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_FULL_4321,4T+1D,0.31068,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,COMPOSITE_FULL_4321,3T+2D,0.34052,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_DEDUP_VIEW,5T,0.20394,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_DEDUP_VIEW,4T+1D,0.31068,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_DEDUP_VIEW,3T+2D,0.34052,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_ALIGNMENT_43,5T,0.19955,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_ALIGNMENT_43,4T+1D,0.98566,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_ALIGNMENT_43,3T+2D,0.98566,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_GLOBAL_ONLY,5T,0.26311,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_GLOBAL_ONLY,4T+1D,0.98566,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_GLOBAL_ONLY,3T+2D,0.98566,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_FULL_4321,5T,0.20745,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_FULL_4321,4T+1D,0.98566,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,COMPOSITE_FULL_4321,3T+2D,0.98566,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,J_SS_DEDUP_VIEW,5T,0.1531,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,J_SS_DEDUP_VIEW,4T+1D,0.98566,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,J_SS_DEDUP_VIEW,3T+2D,0.98566,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_ALIGNMENT_43,5T,0.21934,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_ALIGNMENT_43,4T+1D,0.22722,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_ALIGNMENT_43,3T+2D,0.24445,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_GLOBAL_ONLY,5T,0.21934,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_GLOBAL_ONLY,4T+1D,0.22722,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_GLOBAL_ONLY,3T+2D,0.24445,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_FULL_4321,5T,0.21934,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_FULL_4321,4T+1D,0.22722,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,COMPOSITE_FULL_4321,3T+2D,0.24445,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,J_SS_DEDUP_VIEW,5T,0.2049,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,J_SS_DEDUP_VIEW,4T+1D,0.22722,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,J_SS_DEDUP_VIEW,3T+2D,0.24445,3,2,3,2,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_ALIGNMENT_43,5T,0.22362,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_ALIGNMENT_43,4T+1D,0.22362,4,1,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_ALIGNMENT_43,3T+2D,0.22362,3,2,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_GLOBAL_ONLY,5T,0.22362,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_GLOBAL_ONLY,4T+1D,0.22362,4,1,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_GLOBAL_ONLY,3T+2D,0.22362,3,2,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_FULL_4321,5T,0.22362,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_FULL_4321,4T+1D,0.22362,4,1,5,0,True
R1138,seq_10df3cf7b8552761,720,COMPOSITE_FULL_4321,3T+2D,0.22362,3,2,5,0,True
R1138,seq_10df3cf7b8552761,720,J_SS_DEDUP_VIEW,5T,0.21747,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,J_SS_DEDUP_VIEW,4T+1D,0.21747,4,1,5,0,True
R1138,seq_10df3cf7b8552761,720,J_SS_DEDUP_VIEW,3T+2D,0.21747,3,2,5,0,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_ALIGNMENT_43,5T,0.31842,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_ALIGNMENT_43,4T+1D,0.57018,4,1,4,1,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_ALIGNMENT_43,3T+2D,0.66446,3,2,3,2,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_GLOBAL_ONLY,5T,0.32585,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_GLOBAL_ONLY,4T+1D,0.57018,4,1,4,1,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_GLOBAL_ONLY,3T+2D,0.66446,3,2,3,2,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_FULL_4321,5T,0.31842,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_FULL_4321,4T+1D,0.57018,4,1,4,1,True
R1149,seq_6157861c4fd04fcf,124,COMPOSITE_FULL_4321,3T+2D,0.66446,3,2,3,2,True
R1149,seq_6157861c4fd04fcf,124,J_SS_DEDUP_VIEW,5T,0.30109,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_DEDUP_VIEW,4T+1D,0.57018,4,1,4,1,True
R1149,seq_6157861c4fd04fcf,124,J_SS_DEDUP_VIEW,3T+2D,0.66446,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_ALIGNMENT_43,5T,0.33593,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_ALIGNMENT_43,4T+1D,0.33644,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_ALIGNMENT_43,3T+2D,0.46997,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_GLOBAL_ONLY,5T,0.33593,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_GLOBAL_ONLY,4T+1D,0.33644,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_GLOBAL_ONLY,3T+2D,0.46997,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_FULL_4321,5T,0.27993,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_FULL_4321,4T+1D,0.33644,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,COMPOSITE_FULL_4321,3T+2D,0.46997,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,J_SS_DEDUP_VIEW,5T,0.26002,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,J_SS_DEDUP_VIEW,4T+1D,0.33644,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,J_SS_DEDUP_VIEW,3T+2D,0.46997,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,5T,0.2198,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,4T+1D,0.2198,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,3T+2D,0.22893,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,5T,0.2198,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,4T+1D,0.2198,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,3T+2D,0.22893,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,5T,0.2198,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,4T+1D,0.2198,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,3T+2D,0.22893,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,5T,0.22463,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,4T+1D,0.22463,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,3T+2D,0.22893,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,5T,0.23755,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,4T+1D,0.23755,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_ALIGNMENT_43,3T+2D,0.27034,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,5T,0.22411,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,4T+1D,0.22411,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_GLOBAL_ONLY,3T+2D,0.27034,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,5T,0.23813,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,4T+1D,0.22411,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,COMPOSITE_FULL_4321,3T+2D,0.27034,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,5T,0.22357,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,4T+1D,0.22357,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_DEDUP_VIEW,3T+2D,0.27034,3,2,3,2,True
