target_id,cluster_id,Geometry,John_fixed,John_original,Raw,Simple,geometry_vs_simple_tm_delta
9FO9_A,9FO9_A,0.20701,0.21016,0.21046,0.20743,0.20892,-0.001909999999999995
9FPZ_1,9FQ0_1,0.2602,0.1869,0.19991,0.25995,0.25966,0.0005399999999999849
9FQ0_1,9FQ0_1,0.26965,0.24832,0.25699,0.24947,0.26947,0.00018000000000001348
9G6K_l2,9G6K_l2,0.28417,0.2701,0.28114,0.28658,0.27849,0.005679999999999963
9G6K_l4,9G6K_l4,0.17986,0.13249,0.13188,0.13928,0.13634,0.04352
9G6K_l6,9G6K_l6,0.20833,0.17582,0.18034,0.20655,0.18095,0.027379999999999988
9G6K_l7,9G6K_l7,0.20304,0.1947,0.20343,0.19345,0.20274,0.0002999999999999947
9G6K_l8,9G6K_l8,0.11907,0.1241,0.12154,0.11484,0.12227,-0.0032000000000000084
9G6K_lF,9G6K_lF,0.2627,0.261,0.27347,0.2625,0.26174,0.0009600000000000164
9G6K_lI,9G6K_lI,0.18837,0.18685,0.19421,0.18478,0.18869,-0.00031999999999998696
9G6K_lJ,9G6K_lJ,0.21085,0.21204,0.20581,0.21018,0.21474,-0.003889999999999977
9G6K_lL,9G6K_lL,0.24739,0.23997,0.23499,0.24557,0.24649,0.0009000000000000119
9G6K_lM,9G6K_lM,0.26688,0.26543,0.26384,0.2672,0.26842,-0.0015399999999999858
9G6K_lO,9G6K_lO,0.69308,0.69004,0.69329,0.69232,0.68992,0.0031600000000000517
9G6K_lX,9G6K_lX,0.14475,0.13901,0.14537,0.14455,0.14409,0.0006599999999999939
9G7C_A,9G7C_A,0.23607,0.23502,0.24182,0.23529,0.24022,-0.004149999999999987
9KPO_B,9KPO_B,0.24966,0.23895,0.23946,0.24911,0.24918,0.00047999999999998044
9L5S_5,9L5S_5,0.59695,0.59271,0.59452,0.59792,0.59444,0.0025100000000000122
9MTY_C,9MTY_C,0.16652,0.16078,0.16126,0.16627,0.16794,-0.0014200000000000046
