target_id,cluster_id,seq_len,bank,n_candidates,best_tm,mean_pairwise_self_tm,near_duplicate_pair_fraction,source_available
8QO3_A,8QO3_A,118,2T,2,0.23394,0.17433,0.0,True
8QO3_A,8QO3_A,118,1T+1D,2,0.45792,0.28691,0.0,True
8QO3_A,8QO3_A,118,2D,2,0.45792,0.49969,0.0,True
8R7N_A,8R7N_A,135,5T,5,0.79221,0.46617999999999993,0.0,True
8R7N_A,8R7N_A,135,3T+2D,5,0.79221,0.26205700000000004,0.0,True
8R7N_A,8R7N_A,135,2T,2,0.79221,0.16251,0.0,True
8R7N_A,8R7N_A,135,1T+1D,2,0.79221,0.21607,0.0,True
8R7N_A,8R7N_A,135,2D,2,0.22592,0.31414,0.0,True
8RDV_V,8RDV_V,76,5T,5,0.42495,0.14075500000000002,0.0,True
8RDV_V,8RDV_V,76,3T+2D,5,0.15176,0.157598,0.0,True
8RDV_V,8RDV_V,76,2T,2,0.11137,0.08337,0.0,True
8RDV_V,8RDV_V,76,1T+1D,2,0.13223,0.09632,0.0,True
8RDV_V,8RDV_V,76,2D,2,0.15176,0.27496,0.0,True
8RG0_A,8RG0_A,121,5T,5,0.19705,0.189876,0.0,True
8RG0_A,8RG0_A,121,3T+2D,5,0.22269,0.222919,0.0,True
8RG0_A,8RG0_A,121,2T,2,0.19287,0.17533,0.0,True
8RG0_A,8RG0_A,121,1T+1D,2,0.22269,0.19617,0.0,True
8RG0_A,8RG0_A,121,2D,2,0.22269,0.29748,0.0,True
8RO0_5,8RO1_5,121,5T,5,0.70308,0.7813519999999999,0.1,True
8RO0_5,8RO1_5,121,3T+2D,5,0.62508,0.537606,0.0,True
8RO0_5,8RO1_5,121,2T,2,0.62508,0.79156,0.0,True
8RO0_5,8RO1_5,121,1T+1D,2,0.62508,0.40444,0.0,True
8RO0_5,8RO1_5,121,2D,2,0.43091,0.52999,0.0,True
8RO1_5,8RO1_5,112,5T,5,0.59904,0.81472,0.1,True
8RO1_5,8RO1_5,112,3T+2D,5,0.59904,0.5749340000000001,0.1,True
8RO1_5,8RO1_5,112,2T,2,0.59904,0.78898,0.0,True
8RO1_5,8RO1_5,112,1T+1D,2,0.59904,0.41263,0.0,True
8RO1_5,8RO1_5,112,2D,2,0.40989,0.57116,0.0,True
8SD0_B,8SD0_B,32,5T,5,0.56648,0.33501000000000003,0.0,True
8SD0_B,8SD0_B,32,3T+2D,5,0.56648,0.48535700000000004,0.0,True
8SD0_B,8SD0_B,32,2T,2,0.35792,0.74499,0.0,True
8SD0_B,8SD0_B,32,1T+1D,2,0.4385,0.52074,0.0,True
8SD0_B,8SD0_B,32,2D,2,0.4385,0.692,0.0,True
8SFP_B,8SFP_B,48,5T,5,0.71115,0.7106789999999998,0.1,True
8SFP_B,8SFP_B,48,3T+2D,5,0.60647,0.522972,0.1,True
8SFP_B,8SFP_B,48,2T,2,0.60647,0.77137,0.0,True
8SFP_B,8SFP_B,48,1T+1D,2,0.60647,0.32377,0.0,True
8SFP_B,8SFP_B,48,2D,2,0.3818,0.64878,0.0,True
8SYK_B,8SYK_B,107,5T,5,0.25078,0.894461,0.3,True
8SYK_B,8SYK_B,107,3T+2D,5,0.25451,0.442889,0.1,True
8SYK_B,8SYK_B,107,2T,2,0.24039,0.91194,0.0,True
8SYK_B,8SYK_B,107,1T+1D,2,0.24617,0.17141,0.0,True
8SYK_B,8SYK_B,107,2D,2,0.25451,0.46203,0.0,True
8T2P_A,8T2P_A,135,5T,5,0.18572,0.297271,0.1,True
8T2P_A,8T2P_A,135,3T+2D,5,0.33723,0.219101,0.0,True
8T2P_A,8T2P_A,135,2T,2,0.18052,0.12024,0.0,True
8T2P_A,8T2P_A,135,1T+1D,2,0.30876,0.18067,0.0,True
8T2P_A,8T2P_A,135,2D,2,0.33723,0.61204,0.0,True
8T2P_B,8T2P_B,152,5T,5,0.38452,0.37654899999999997,0.0,True
8T2P_B,8T2P_B,152,3T+2D,5,0.38452,0.521485,0.0,True
8T2P_B,8T2P_B,152,2T,2,0.38452,0.8677,0.0,True
8T2P_B,8T2P_B,152,1T+1D,2,0.38045,0.34088,0.0,True
8T2P_B,8T2P_B,152,2D,2,0.37688,0.45725,0.0,True
8T5O_A,8SYK_B,124,5T,5,0.23193,0.660977,0.1,True
8T5O_A,8SYK_B,124,3T+2D,5,0.41671,0.339896,0.0,True
8T5O_A,8SYK_B,124,2T,2,0.23193,0.88714,0.0,True
8T5O_A,8SYK_B,124,1T+1D,2,0.32576,0.23307,0.0,True
8T5O_A,8SYK_B,124,2D,2,0.41671,0.56611,0.0,True
8TUX_R,8TUX_R,95,5T,5,0.1877,0.9559430000000001,0.6,True
8TUX_R,8TUX_R,95,3T+2D,5,0.2452,0.429823,0.2,True
8TUX_R,8TUX_R,95,2T,2,0.16637,0.95689,1.0,True
8TUX_R,8TUX_R,95,1T+1D,2,0.24223,0.18708,0.0,True
8TUX_R,8TUX_R,95,2D,2,0.2452,0.34872,0.0,True
8TVZ_C,8TVZ_C,363,5T,5,0.27991,0.294279,0.1,True
8TVZ_C,8TVZ_C,363,3T+2D,5,0.34135,0.294524,0.1,True
8TVZ_C,8TVZ_C,363,2T,2,0.1863,0.99949,1.0,True
8TVZ_C,8TVZ_C,363,1T+1D,2,0.31164,0.15467,0.0,True
8TVZ_C,8TVZ_C,363,2D,2,0.34135,0.44774,0.0,True
8UB9_I,8UB9_I,140,5T,5,0.20932,0.1989015,0.0,True
8UB9_I,8UB9_I,140,3T+2D,5,0.24296,0.20473650000000002,0.0,True
8UB9_I,8UB9_I,140,2T,2,0.20932,0.164595,0.0,True
8UB9_I,8UB9_I,140,1T+1D,2,0.24296,0.20054,0.0,True
8UB9_I,8UB9_I,140,2D,2,0.24296,0.30239,0.0,True
8UIW_N,8UIW_N,128,5T,5,0.20155,0.7386744999999999,0.3,True
8UIW_N,8UIW_N,128,3T+2D,5,0.36365,0.338992,0.1,True
8UIW_N,8UIW_N,128,2T,2,0.20083,0.50876,0.0,True
8UIW_N,8UIW_N,128,1T+1D,2,0.36365,0.17344,0.0,True
8UIW_N,8UIW_N,128,2D,2,0.36365,0.39525,0.0,True
8UMF_B,8UMF_B,131,5T,5,0.20158,0.7437630000000001,0.1,True
8UMF_B,8UMF_B,131,3T+2D,5,0.39941,0.369521,0.0,True
8UMF_B,8UMF_B,131,2T,2,0.20158,0.73784,0.0,True
8UMF_B,8UMF_B,131,1T+1D,2,0.39941,0.19348,0.0,True
8UMF_B,8UMF_B,131,2D,2,0.39941,0.49283,0.0,True
8UO6_B,8UO6_B,134,5T,5,0.5484,0.380001,0.0,True
8UO6_B,8UO6_B,134,3T+2D,5,0.63714,0.523044,0.0,True
8UO6_B,8UO6_B,134,2T,2,0.53705,0.48119,0.0,True
8UO6_B,8UO6_B,134,1T+1D,2,0.63714,0.50665,0.0,True
8UO6_B,8UO6_B,134,2D,2,0.63714,0.59644,0.0,True
8URQ_D,8URQ_D,31,5T,5,0.19656,0.171827,0.0,True
8URQ_D,8URQ_D,31,3T+2D,5,0.19656,0.278647,0.0,True
8URQ_D,8URQ_D,31,2T,2,0.19656,0.21413,0.0,True
8URQ_D,8URQ_D,31,1T+1D,2,0.19656,0.20097,0.0,True
8URQ_D,8URQ_D,31,2D,2,0.17415,0.60288,0.0,True
8UZB_B,8UZB_B,107,5T,5,0.17034,0.946398,0.4,True
8UZB_B,8UZB_B,107,3T+2D,5,0.51335,0.429086,0.1,True
8UZB_B,8UZB_B,107,2T,2,0.1653,0.91224,0.0,True
8UZB_B,8UZB_B,107,1T+1D,2,0.51335,0.18135,0.0,True
8UZB_B,8UZB_B,107,2D,2,0.51335,0.47374,0.0,True
8VCI_A,8VCI_A,118,5T,5,0.26571,0.409588,0.1,True
8VCI_A,8VCI_A,118,3T+2D,5,0.27536,0.2697820000000001,0.0,True
8VCI_A,8VCI_A,118,2T,2,0.26571,0.27065,0.0,True
8VCI_A,8VCI_A,118,1T+1D,2,0.25911,0.37324,0.0,True
8VCI_A,8VCI_A,118,2D,2,0.27536,0.37262,0.0,True
8W2Z_B,8W2Z_B,158,5T,5,0.21203,0.21681650000000002,0.1,True
8W2Z_B,8W2Z_B,158,3T+2D,5,0.31163,0.1731035,0.0,True
8W2Z_B,8W2Z_B,158,2T,2,0.21203,0.13686,0.0,True
8W2Z_B,8W2Z_B,158,1T+1D,2,0.31163,0.12774,0.0,True
8W2Z_B,8W2Z_B,158,2D,2,0.31163,0.4922,0.0,True
8WCE_G,8WCE_G,66,5T,5,0.19628,0.635424,0.2,True
8WCE_G,8WCE_G,66,3T+2D,5,0.29074,0.44106000000000006,0.1,True
8WCE_G,8WCE_G,66,2T,2,0.19557,0.9939,1.0,True
8WCE_G,8WCE_G,66,1T+1D,2,0.26262,0.2005,0.0,True
8WCE_G,8WCE_G,66,2D,2,0.29074,0.40971,0.0,True
8WMM_O,8WR4_N,127,5T,5,0.40079,0.8096099999999999,0.0,True
8WMM_O,8WR4_N,127,3T+2D,5,0.48133,0.47819700000000004,0.0,True
8WMM_O,8WR4_N,127,2T,2,0.40079,0.78454,0.0,True
8WMM_O,8WR4_N,127,1T+1D,2,0.41636,0.29774,0.0,True
8WMM_O,8WR4_N,127,2D,2,0.48133,0.55487,0.0,True
8WR4_N,8WR4_N,127,5T,5,0.3618,0.833249,0.0,True
8WR4_N,8WR4_N,127,3T+2D,5,0.44538,0.5062439999999999,0.0,True
8WR4_N,8WR4_N,127,2T,2,0.3618,0.8198,0.0,True
8WR4_N,8WR4_N,127,1T+1D,2,0.43101,0.30633,0.0,True
8WR4_N,8WR4_N,127,2D,2,0.44538,0.61897,0.0,True
8WUS_B,8WUS_B,115,5T,5,0.74315,0.687066,0.1,True
8WUS_B,8WUS_B,115,3T+2D,5,0.74315,0.6081070000000001,0.0,True
8WUS_B,8WUS_B,115,2T,2,0.69302,0.53337,0.0,True
8WUS_B,8WUS_B,115,1T+1D,2,0.68802,0.49647,0.0,True
8WUS_B,8WUS_B,115,2D,2,0.7023,0.83312,0.0,True
8WUT_B,8WUS_B,115,5T,5,0.7718,0.687066,0.1,True
8WUT_B,8WUS_B,115,3T+2D,5,0.76595,0.603156,0.0,True
8WUT_B,8WUS_B,115,2T,2,0.73597,0.53337,0.0,True
8WUT_B,8WUS_B,115,1T+1D,2,0.70826,0.50097,0.0,True
8WUT_B,8WUS_B,115,2D,2,0.71216,0.78538,0.0,True
8WUU_B,8WUS_B,111,5T,5,0.78497,0.702559,0.1,True
8WUU_B,8WUS_B,111,3T+2D,5,0.77874,0.623476,0.0,True
8WUU_B,8WUS_B,111,2T,2,0.74778,0.54242,0.0,True
8WUU_B,8WUS_B,111,1T+1D,2,0.75268,0.55099,0.0,True
8WUU_B,8WUS_B,111,2D,2,0.75268,0.78035,0.0,True
8WUV_B,8WUS_B,137,5T,5,0.68443,0.615681,0.1,True
8WUV_B,8WUS_B,137,3T+2D,5,0.68443,0.38413100000000006,0.0,True
8WUV_B,8WUS_B,137,2T,2,0.64855,0.48073,0.0,True
8WUV_B,8WUS_B,137,1T+1D,2,0.51641,0.23878,0.0,True
8WUV_B,8WUS_B,137,2D,2,0.37668,0.55405,0.0,True
8X5V_B,8X5V_B,110,5T,5,0.6675,0.6532180000000001,0.0,True
8X5V_B,8X5V_B,110,3T+2D,5,0.6675,0.49621000000000004,0.0,True
8X5V_B,8X5V_B,110,2T,2,0.6675,0.8342,0.0,True
8X5V_B,8X5V_B,110,1T+1D,2,0.6675,0.41162,0.0,True
8X5V_B,8X5V_B,110,2D,2,0.46394,0.57597,0.0,True
8XAK_B,8XAK_B,34,5T,5,0.09319,0.581958,0.0,True
8XAK_B,8XAK_B,34,3T+2D,5,0.09209,0.2502,0.0,True
8XAK_B,8XAK_B,34,2T,2,0.06347,0.44753,0.0,True
8XAK_B,8XAK_B,34,1T+1D,2,0.09209,0.18065,0.0,True
8XAK_B,8XAK_B,34,2D,2,0.09209,0.21231,0.0,True
8XCA_B,8XCA_B,60,5T,5,0.32714,0.46754299999999993,0.1,True
8XCA_B,8XCA_B,60,3T+2D,5,0.37759,0.322884,0.0,True
8XCA_B,8XCA_B,60,2T,2,0.32714,0.29449,0.0,True
8XCA_B,8XCA_B,60,1T+1D,2,0.36744,0.36806,0.0,True
8XCA_B,8XCA_B,60,2D,2,0.37759,0.6056,0.0,True
8XTP_A,8XTP_A,133,5T,5,0.19609,0.42942800000000003,0.3,True
8XTP_A,8XTP_A,133,3T+2D,5,0.26904,0.210528,0.0,True
8XTP_A,8XTP_A,133,2T,2,0.19609,0.14545,0.0,True
8XTP_A,8XTP_A,133,1T+1D,2,0.21856,0.21737,0.0,True
8XTP_A,8XTP_A,133,2D,2,0.26904,0.28628,0.0,True
8XTR_A,8XTP_A,145,5T,5,0.17735,0.668165,0.6,True
8XTR_A,8XTP_A,145,3T+2D,5,0.21482,0.29388800000000004,0.1,True
8XTR_A,8XTP_A,145,2T,2,0.17236,0.19198,0.0,True
8XTR_A,8XTP_A,145,1T+1D,2,0.21352,0.16047,0.0,True
8XTR_A,8XTP_A,145,2D,2,0.21482,0.33369,0.0,True
8YDC_A,8YDC_A,58,5T,5,0.24171,0.351343,0.0,True
8YDC_A,8YDC_A,58,3T+2D,5,0.24967,0.228545,0.0,True
8YDC_A,8YDC_A,58,2T,2,0.15534,0.12959,0.0,True
8YDC_A,8YDC_A,58,1T+1D,2,0.24967,0.16945,0.0,True
8YDC_A,8YDC_A,58,2D,2,0.24967,0.29245,0.0,True
8YGJ_B,8WUS_B,137,5T,5,0.62708,0.615681,0.1,True
8YGJ_B,8WUS_B,137,3T+2D,5,0.62708,0.4472189999999999,0.0,True
8YGJ_B,8WUS_B,137,2T,2,0.60416,0.48073,0.0,True
8YGJ_B,8WUS_B,137,1T+1D,2,0.48058,0.30769,0.0,True
8YGJ_B,8WUS_B,137,2D,2,0.54627,0.38134,0.0,True
8YHA_C,8YHA_C,61,5T,5,0.23601,0.866471,0.4,True
8YHA_C,8YHA_C,61,3T+2D,5,0.23601,0.33587200000000006,0.1,True
8YHA_C,8YHA_C,61,2T,2,0.2358,0.77852,0.0,True
8YHA_C,8YHA_C,61,1T+1D,2,0.2358,0.08603,0.0,True
8YHA_C,8YHA_C,61,2D,2,0.18008,0.31202,0.0,True
8YII_C,8YII_C,104,5T,5,0.18948,0.9584849999999999,0.7,True
8YII_C,8YII_C,104,3T+2D,5,0.62934,0.478186,0.2,True
8YII_C,8YII_C,104,2T,2,0.18168,0.95427,1.0,True
8YII_C,8YII_C,104,1T+1D,2,0.58691,0.18853,0.0,True
8YII_C,8YII_C,104,2D,2,0.62934,0.81023,0.0,True
8ZAU_A,8ZAU_A,69,5T,5,0.96002,0.519939,0.1,True
8ZAU_A,8ZAU_A,69,3T+2D,5,0.96002,0.349459,0.1,True
8ZAU_A,8ZAU_A,69,2T,2,0.96002,0.2242,0.0,True
8ZAU_A,8ZAU_A,69,1T+1D,2,0.96002,0.26852,0.0,True
8ZAU_A,8ZAU_A,69,2D,2,0.27213,0.33738,0.0,True
8ZDR_A,8W2Z_B,159,5T,5,0.94898,0.582978,0.0,True
8ZDR_A,8W2Z_B,159,3T+2D,5,0.94898,0.5155839999999999,0.0,True
8ZDR_A,8W2Z_B,159,2T,2,0.94898,0.89836,0.0,True
8ZDR_A,8W2Z_B,159,1T+1D,2,0.94898,0.34984,0.0,True
8ZDR_A,8W2Z_B,159,2D,2,0.37962,0.49528,0.0,True
9AR4_B,9AR4_B,149,5T,5,0.75138,0.423204,0.0,True
9AR4_B,9AR4_B,149,3T+2D,5,0.75138,0.429361,0.0,True
9AR4_B,9AR4_B,149,2T,2,0.75138,0.78195,0.0,True
9AR4_B,9AR4_B,149,1T+1D,2,0.73515,0.27005,0.0,True
9AR4_B,9AR4_B,149,2D,2,0.46921,0.45303,0.0,True
9AR6_B,9AR7_B,147,5T,5,0.79361,0.534528,0.0,True
9AR6_B,9AR7_B,147,3T+2D,5,0.79361,0.46368100000000007,0.0,True
9AR6_B,9AR7_B,147,2T,2,0.79361,0.78048,0.0,True
9AR6_B,9AR7_B,147,1T+1D,2,0.77302,0.40532,0.0,True
9AR6_B,9AR7_B,147,2D,2,0.48017,0.40604,0.0,True
9AR7_B,9AR7_B,120,5T,5,0.75068,0.575699,0.0,True
9AR7_B,9AR7_B,120,3T+2D,5,0.75068,0.535671,0.0,True
9AR7_B,9AR7_B,120,2T,2,0.75068,0.92705,0.0,True
9AR7_B,9AR7_B,120,1T+1D,2,0.73603,0.49905,0.0,True
9AR7_B,9AR7_B,120,2D,2,0.57385,0.47921,0.0,True
9ASP_E,9ASP_E,119,5T,5,0.2317,0.41374700000000003,0.2,True
9ASP_E,9ASP_E,119,3T+2D,5,0.58668,0.256337,0.0,True
9ASP_E,9ASP_E,119,2T,2,0.2317,0.44583,0.0,True
9ASP_E,9ASP_E,119,1T+1D,2,0.5199,0.2019,0.0,True
9ASP_E,9ASP_E,119,2D,2,0.58668,0.72135,0.0,True
9B1Y_4,9B1Y_4,81,5T,5,0.59158,0.594316,0.0,True
9B1Y_4,9B1Y_4,81,3T+2D,5,0.54582,0.4652990000000001,0.0,True
9B1Y_4,9B1Y_4,81,2T,2,0.36998,0.57376,0.0,True
9B1Y_4,9B1Y_4,81,1T+1D,2,0.44828,0.46731,0.0,True
9B1Y_4,9B1Y_4,81,2D,2,0.44828,0.53809,0.0,True
9B89_C,9B89_C,35,5T,5,0.33274,0.2628,0.0,True
9B89_C,9B89_C,35,3T+2D,5,0.33394,0.284072,0.0,True
9B89_C,9B89_C,35,2T,2,0.22918,0.16716,0.0,True
9B89_C,9B89_C,35,1T+1D,2,0.33394,0.1872,0.0,True
9B89_C,9B89_C,35,2D,2,0.33394,0.73,0.0,True
9BCI_A,9BCI_A,50,5T,5,0.34301,0.7998040000000001,0.6,True
9BCI_A,9BCI_A,50,3T+2D,5,0.50569,0.458005,0.1,True
9BCI_A,9BCI_A,50,2T,2,0.34268,0.50258,0.0,True
9BCI_A,9BCI_A,50,1T+1D,2,0.50569,0.34959,0.0,True
9BCI_A,9BCI_A,50,2D,2,0.50569,0.55019,0.0,True
9C0J_R,9C0J_R,155,5T,5,0.18035,0.41779,0.1,True
9C0J_R,9C0J_R,155,3T+2D,5,0.24777,0.248226,0.0,True
9C0J_R,9C0J_R,155,2T,2,0.15869,0.62538,0.0,True
9C0J_R,9C0J_R,155,1T+1D,2,0.22282,0.19314,0.0,True
9C0J_R,9C0J_R,155,2D,2,0.24777,0.40497,0.0,True
9C3H_S4,9C3H_S4,76,5T,5,0.84196,0.713567,0.0,True
9C3H_S4,9C3H_S4,76,3T+2D,5,0.73368,0.732521,0.0,True
9C3H_S4,9C3H_S4,76,2T,2,0.65522,0.92092,0.0,True
9C3H_S4,9C3H_S4,76,1T+1D,2,0.67499,0.63724,0.0,True
9C3H_S4,9C3H_S4,76,2D,2,0.68989,0.9129,0.0,True
9CAI_A7,9CAI_A7,119,5T,5,0.99865,0.984529,1.0,True
9CAI_A7,9CAI_A7,119,3T+2D,5,0.99865,0.958155,0.6,True
9CAI_A7,9CAI_A7,119,2T,2,0.99865,0.96132,1.0,True
9CAI_A7,9CAI_A7,119,1T+1D,2,0.99865,0.96983,1.0,True
9CAI_A7,9CAI_A7,119,2D,2,0.96716,0.986,1.0,True
9CAI_A8,9CAI_A8,153,5T,5,0.99939,0.952881,0.6,True
9CAI_A8,9CAI_A8,153,3T+2D,5,0.99939,0.873166,0.1,True
9CAI_A8,9CAI_A8,153,2T,2,0.99939,0.88241,0.0,True
9CAI_A8,9CAI_A8,153,1T+1D,2,0.99939,0.84099,0.0,True
9CAI_A8,9CAI_A8,153,2D,2,0.86429,0.90554,0.0,True
9DTR_2,9DTR_2,132,5T,5,0.56065,0.779616,0.0,True
9DTR_2,9DTR_2,132,3T+2D,5,0.56065,0.41339299999999995,0.0,True
9DTR_2,9DTR_2,132,2T,2,0.56065,0.60836,0.0,True
9DTR_2,9DTR_2,132,1T+1D,2,0.56065,0.26643,0.0,True
9DTR_2,9DTR_2,132,2D,2,0.3447,0.25496,0.0,True
9DTR_I,9DTR_I,48,5T,5,0.51579,0.23492749999999996,0.0,True
9DTR_I,9DTR_I,48,3T+2D,5,0.21051,0.1933535,0.0,True
9DTR_I,9DTR_I,48,2T,2,0.21051,0.16146,0.0,True
9DTR_I,9DTR_I,48,1T+1D,2,0.19948,0.12814,0.0,True
9DTR_I,9DTR_I,48,2D,2,0.19948,0.2737,0.0,True
9DXL_A,9DXL_A,48,5T,5,0.67655,0.2820435,0.0,True
9DXL_A,9DXL_A,48,3T+2D,5,0.67655,0.31351,0.0,True
9DXL_A,9DXL_A,48,2T,2,0.67655,0.65027,0.0,True
9DXL_A,9DXL_A,48,1T+1D,2,0.67655,0.32838,0.0,True
9DXL_A,9DXL_A,48,2D,2,0.35591,0.42097,0.0,True
9E2W_F,9E2W_F,48,5T,5,0.18531,0.2386065,0.0,True
9E2W_F,9E2W_F,48,3T+2D,5,0.24041,0.239971,0.0,True
9E2W_F,9E2W_F,48,2T,2,0.18531,0.08768,0.0,True
9E2W_F,9E2W_F,48,1T+1D,2,0.22687,0.30871,0.0,True
9E2W_F,9E2W_F,48,2D,2,0.24041,0.45168,0.0,True
9E2Y_F,9E2Y_F,35,5T,5,0.16396,0.43025399999999997,0.1,True
9E2Y_F,9E2Y_F,35,3T+2D,5,0.23912,0.277155,0.0,True
9E2Y_F,9E2Y_F,35,2T,2,0.16396,0.33592,0.0,True
9E2Y_F,9E2Y_F,35,1T+1D,2,0.19397,0.15223,0.0,True
9E2Y_F,9E2Y_F,35,2D,2,0.23912,0.29449,0.0,True
9E71_2,9E71_2,129,5T,5,0.75494,0.7961739999999999,0.4,True
9E71_2,9E71_2,129,3T+2D,5,0.75494,0.8286239999999999,0.4,True
9E71_2,9E71_2,129,2T,2,0.75494,0.96402,1.0,True
9E71_2,9E71_2,129,1T+1D,2,0.75494,0.72885,0.0,True
9E71_2,9E71_2,129,2D,2,0.75424,0.96825,1.0,True
