target_id,cluster_id,seq_len,j_controlled_5t_raw_tm,thesis_5t_raw_tm,thesis_3t2d_raw_tm,h1_delta,h2_delta,drfold2_available
8SYK_B,8SYK_B,107,0.36854,0.25078,0.25451,-0.11775999999999998,0.003730000000000011,2
8T2P_A,8T2P_A,135,0.25673,0.18572,0.33723,-0.07101000000000002,0.15150999999999998,2
8T2P_B,8T2P_B,152,0.37618,0.38452,0.38452,0.008339999999999959,0.0,2
8T5O_A,8SYK_B,124,0.23481,0.23193,0.41671,-0.0028799999999999937,0.18478000000000003,2
8TUX_R,8TUX_R,95,0.22206,0.1877,0.2452,-0.03436,0.057499999999999996,2
8TVZ_C,8TVZ_C,363,0.1886,0.27991,0.34135,0.09131,0.061439999999999995,2
8UB9_I,8UB9_I,140,0.19797,0.20932,0.24296,0.011349999999999999,0.03364,2
8UIW_N,8UIW_N,128,0.19868,0.20155,0.36365,0.0028700000000000114,0.16209999999999997,2
8UMF_B,8UMF_B,131,0.63821,0.20158,0.39941,-0.4366300000000001,0.19782999999999998,2
8UO6_B,8UO6_B,134,0.53481,0.5484,0.63714,0.013589999999999991,0.08874000000000004,2
8URQ_D,8URQ_D,31,0.162,0.19656,0.19656,0.03456000000000001,0.0,2
8UZB_B,8UZB_B,107,0.74369,0.17034,0.51335,-0.57335,0.34301,2
8VCI_A,8VCI_A,118,0.23447,0.26571,0.27536,0.03123999999999999,0.009649999999999992,2
8W2Z_B,8W2Z_B,158,0.39847,0.21203,0.31163,-0.18644,0.09960000000000002,2
8WCE_G,8WCE_G,66,0.24013,0.19628,0.29074,-0.04385,0.09445999999999999,2
8WMM_O,8WR4_N,127,0.41248,0.40079,0.48133,-0.011690000000000034,0.08054,2
8WR4_N,8WR4_N,127,0.35626,0.3618,0.44538,0.005539999999999989,0.08357999999999999,2
8WUS_B,8WUS_B,115,0.75922,0.74315,0.74315,-0.01607000000000003,0.0,2
8WUT_B,8WUS_B,115,0.73325,0.7718,0.76595,0.038550000000000084,-0.005850000000000022,2
8WUU_B,8WUS_B,111,0.74066,0.78497,0.77874,0.04430999999999996,-0.006229999999999958,2
8WUV_B,8WUS_B,137,0.6957,0.68443,0.68443,-0.011270000000000002,0.0,2
8X5V_B,8X5V_B,110,0.56296,0.6675,0.6675,0.10453999999999997,0.0,2
8XAK_B,8XAK_B,34,0.09484,0.09319,0.09209,-0.0016499999999999987,-0.0010999999999999899,2
8XCA_B,8XCA_B,60,0.24416,0.32714,0.37759,0.08298,0.050449999999999995,2
8XTP_A,8XTP_A,133,0.21542,0.19609,0.26904,-0.019330000000000014,0.07295000000000001,2
8XTR_A,8XTP_A,145,0.2306,0.17735,0.21482,-0.05324999999999999,0.03747,2
8YDC_A,8YDC_A,58,0.32247,0.24171,0.24967,-0.08075999999999997,0.007959999999999995,2
8YGJ_B,8WUS_B,137,0.64399,0.62708,0.62708,-0.01690999999999998,0.0,2
8YHA_C,8YHA_C,61,0.50599,0.23601,0.23601,-0.26998000000000005,0.0,2
8YII_C,8YII_C,104,0.30399,0.18948,0.62934,-0.11450999999999997,0.43986000000000003,2
8ZAU_A,8ZAU_A,69,0.95415,0.96002,0.96002,0.005869999999999931,0.0,2
8ZDR_A,8W2Z_B,159,0.86013,0.94898,0.94898,0.0888500000000001,0.0,2
9AR4_B,9AR4_B,149,0.75022,0.75138,0.75138,0.0011600000000000499,0.0,2
9AR6_B,9AR7_B,147,0.79409,0.79361,0.79361,-0.00047999999999992493,0.0,2
9AR7_B,9AR7_B,120,0.75268,0.75068,0.75068,-0.0020000000000000018,0.0,2
9ASP_E,9ASP_E,119,0.25957,0.2317,0.58668,-0.027870000000000034,0.35497999999999996,2
9B1Y_4,9B1Y_4,81,0.55487,0.59158,0.54582,0.03671000000000002,-0.04576000000000002,2
9B89_C,9B89_C,35,0.27883,0.33274,0.33394,0.05390999999999996,0.0012000000000000344,2
9BCI_A,9BCI_A,50,0.33657,0.34301,0.50569,0.006440000000000001,0.16268,2
9C0J_R,9C0J_R,155,0.19959,0.18035,0.24777,-0.01923999999999998,0.06741999999999998,2
9C3H_S4,9C3H_S4,76,0.83578,0.84196,0.73368,0.006180000000000074,-0.10828000000000004,2
9CAI_A7,9CAI_A7,119,0.99865,0.99865,0.99865,0.0,0.0,2
9CAI_A8,9CAI_A8,153,0.99939,0.99939,0.99939,0.0,0.0,2
9DTR_2,9DTR_2,132,0.71054,0.56065,0.56065,-0.14988999999999997,0.0,2
9DTR_I,9DTR_I,48,0.53704,0.51579,0.21051,-0.02124999999999999,-0.30528,2
9DXL_A,9DXL_A,48,0.67655,0.67655,0.67655,0.0,0.0,2
9E2W_F,9E2W_F,48,0.1564,0.18531,0.24041,0.02890999999999999,0.05510000000000001,2
9E2Y_F,9E2Y_F,35,0.19632,0.16396,0.23912,-0.03236,0.07516,2
9E71_2,9E71_2,129,0.82396,0.75494,0.75494,-0.06901999999999997,0.0,2
9FI8_bN,9FI8_bN,58,0.16142,0.16277,0.1453,0.00134999999999999,-0.017469999999999986,2
9FI8_hG,9FI8_hG,68,0.1441,0.13631,0.15038,-0.007790000000000019,0.014070000000000027,2
9FIA_bE,9FIA_bE,107,0.22873,0.2139,0.21313,-0.014829999999999982,-0.0007700000000000207,2
9FIA_bL,9FIA_bL,48,0.19397,0.16246,0.16436,-0.03151000000000001,0.0019000000000000128,2
9FIA_bO,9FIA_bO,115,0.19313,0.17535,0.1727,-0.01777999999999999,-0.0026500000000000135,2
9FIA_bT,9FIA_bT,60,0.23,0.2449,0.2449,0.014899999999999997,0.0,2
9FIA_bU,9FIA_bU,31,0.17716,0.10337,0.11278,-0.07379000000000001,0.009410000000000002,2
9FO9_A,9FO9_A,33,0.22563,0.14635,0.20743,-0.07927999999999999,0.061079999999999995,2
9FPZ_1,9FQ0_1,300,0.36402,0.17805,0.25995,-0.18597,0.0819,2
9FQ0_1,9FQ0_1,298,0.3424,0.17041,0.24947,-0.17198999999999998,0.07905999999999999,2
9G6K_l2,9G6K_l2,31,0.28658,0.29362,0.28658,0.007039999999999991,-0.007039999999999991,2
9G6K_l4,9G6K_l4,94,0.43099,0.13676,0.13928,-0.29423,0.0025199999999999945,2
9G6K_l6,9G6K_l6,50,0.12637,0.20655,0.20655,0.08018,0.0,2
9G6K_l7,9G6K_l7,69,0.15798,0.19345,0.19345,0.03547,0.0,2
9G6K_l8,9G6K_l8,33,0.13002,0.11484,0.11484,-0.015179999999999999,0.0,2
9G6K_lF,9G6K_lF,88,0.1335,0.17475,0.2625,0.04124999999999998,0.08775000000000002,2
9G6K_lI,9G6K_lI,48,0.17275,0.17088,0.18478,-0.0018699999999999828,0.013899999999999996,2
9G6K_lJ,9G6K_lJ,279,0.23185,0.17187,0.21018,-0.059980000000000006,0.03831000000000001,2
9G6K_lL,9G6K_lL,91,0.20279,0.19883,0.24557,-0.003959999999999991,0.046740000000000004,2
9G6K_lM,9G6K_lM,194,0.20477,0.2672,0.2672,0.062429999999999986,0.0,2
9G6K_lO,9G6K_lO,180,0.72914,0.69232,0.69232,-0.036819999999999964,0.0,2
9G6K_lX,9G6K_lX,58,0.12153,0.14455,0.14455,0.023020000000000013,0.0,2
9G7C_A,9G7C_A,224,0.2275,0.15712,0.23529,-0.07038,0.07816999999999999,2
9KPO_B,9KPO_B,255,0.18077,0.16755,0.24911,-0.013219999999999982,0.08156,2
9L5S_5,9L5S_5,116,0.62746,0.59792,0.59792,-0.02954000000000001,0.0,2
9MTY_C,9MTY_C,36,0.14844,0.15203,0.16627,0.00359000000000001,0.014240000000000003,2
