target_id,sequence_cluster,length,tbm_base,allocation,best_tm,requested_T,requested_D,realized_T,realized_D,complete,candidate_ids
R1116,seq_ab902745838f97e5,157,J_SS_RAW,1T+1D,0.49184,1,1,1,1,True,7LYF_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1116,seq_ab902745838f97e5,157,J_SS_RAW,2D,0.51489,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,5T,0.45342,5,0,5,0,True,7LYG_A|7LYF_A|5A2Q_3|4V6I_DB|6UFH_A
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,4T+1D,0.49184,4,1,4,1,True,7LYG_A|7LYF_A|5A2Q_3|4V6I_DB|drfold2_e2e__cfg97_20ckpt_e2e__01
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,3T+2D,0.51489,3,2,3,2,True,7LYG_A|7LYF_A|5A2Q_3|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,2T,0.45342,2,0,2,0,True,7LYG_A|7LYF_A
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,1T+1D,0.49184,1,1,1,1,True,7LYG_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,2D,0.51489,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,5T,0.45269,5,0,5,0,True,3Q51_A|7REX_A|3BNQ_A|4V50_AW|7PDU_B
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,4T+1D,0.45269,4,1,4,1,True,3Q51_A|7REX_A|3BNQ_A|4V50_AW|drfold2_e2e__cfg97_20ckpt_e2e__01
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,3T+2D,0.45269,3,2,3,2,True,3Q51_A|7REX_A|3BNQ_A|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,2T,0.45269,2,0,2,0,True,3Q51_A|7REX_A
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,1T+1D,0.45269,1,1,1,1,True,3Q51_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,2D,0.27988,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,5T,0.46162,5,0,5,0,True,7REX_A|3Q51_A|6S8B_U|3BNQ_A|6BSI_R
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,4T+1D,0.46162,4,1,4,1,True,7REX_A|3Q51_A|6S8B_U|3BNQ_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,3T+2D,0.46162,3,2,3,2,True,7REX_A|3Q51_A|6S8B_U|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,2T,0.46162,2,0,2,0,True,7REX_A|3Q51_A
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,1T+1D,0.46162,1,1,1,1,True,7REX_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,2D,0.27988,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,5T,0.20394,5,0,5,0,True,7BGE_a|4UE5_A|5U4J_a|6W2S_0|7BG9_B
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,4T+1D,0.31068,4,1,4,1,True,7BGE_a|4UE5_A|5U4J_a|6W2S_0|drfold2_e2e__cfg97_20ckpt_e2e__01
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,3T+2D,0.34052,3,2,3,2,True,7BGE_a|4UE5_A|5U4J_a|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,2T,0.20394,2,0,2,0,True,7BGE_a|4UE5_A
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,1T+1D,0.31068,1,1,1,1,True,7BGE_a|drfold2_e2e__cfg97_20ckpt_e2e__01
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,2D,0.34052,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,5T,0.20438,5,0,5,0,True,6SWE_2|7BGE_a|6W2S_0|4UE5_A|5U4J_a
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,4T+1D,0.31068,4,1,4,1,True,6SWE_2|7BGE_a|6W2S_0|4UE5_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,3T+2D,0.34052,3,2,3,2,True,6SWE_2|7BGE_a|6W2S_0|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,2T,0.18237,2,0,2,0,True,6SWE_2|7BGE_a
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,1T+1D,0.31068,1,1,1,1,True,6SWE_2|drfold2_e2e__cfg97_20ckpt_e2e__01
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,2D,0.34052,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1128,seq_f3159d2df289b012,238,J_SS_RAW,5T,0.19261,5,0,5,0,True,5ZEY_A|5OQL_2|5JUO_EC|5ZWO_H|6AGB_A
R1128,seq_f3159d2df289b012,238,J_SS_RAW,4T+1D,0.98566,4,1,4,1,True,5ZEY_A|5OQL_2|5JUO_EC|5ZWO_H|drfold2_e2e__cfg97_20ckpt_e2e__01
R1128,seq_f3159d2df289b012,238,J_SS_RAW,3T+2D,0.98566,3,2,3,2,True,5ZEY_A|5OQL_2|5JUO_EC|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1128,seq_f3159d2df289b012,238,J_SS_RAW,2T,0.15078,2,0,2,0,True,5ZEY_A|5OQL_2
R1128,seq_f3159d2df289b012,238,J_SS_RAW,1T+1D,0.98566,1,1,1,1,True,5ZEY_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1128,seq_f3159d2df289b012,238,J_SS_RAW,2D,0.98566,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,5T,0.20781,5,0,5,0,True,5ZEY_A|6AGB_A|5OQL_2|5A8L_A|6P5I_1
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,4T+1D,0.98566,4,1,4,1,True,5ZEY_A|6AGB_A|5OQL_2|5A8L_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,3T+2D,0.98566,3,2,3,2,True,5ZEY_A|6AGB_A|5OQL_2|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,2T,0.17236,2,0,2,0,True,5ZEY_A|6AGB_A
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,1T+1D,0.98566,1,1,1,1,True,5ZEY_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,2D,0.98566,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,5T,0.2049,5,0,5,0,True,6WLN_A|2A2E_A|6ZJ3_LI|7BG9_B|4C4Q_N
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,4T+1D,0.22722,4,1,4,1,True,6WLN_A|2A2E_A|6ZJ3_LI|7BG9_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,3T+2D,0.24445,3,2,3,2,True,6WLN_A|2A2E_A|6ZJ3_LI|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,2T,0.2049,2,0,2,0,True,6WLN_A|2A2E_A
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,1T+1D,0.22722,1,1,1,1,True,6WLN_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,2D,0.24445,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,5T,0.23157,5,0,5,0,True,6ZJ3_LI|6WUA_a|6WLN_A|6AHR_A|2A2E_A
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,4T+1D,0.23157,4,1,4,1,True,6ZJ3_LI|6WUA_a|6WLN_A|6AHR_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,3T+2D,0.24445,3,2,3,2,True,6ZJ3_LI|6WUA_a|6WLN_A|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,2T,0.17505,2,0,2,0,True,6ZJ3_LI|6WUA_a
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,1T+1D,0.22722,1,1,1,1,True,6ZJ3_LI|drfold2_e2e__cfg97_20ckpt_e2e__01
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,2D,0.24445,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,5T,0.21747,5,0,5,0,True,4R0D_A|6W7W_2|6ZJ3_LI|5T5H_B|1FFZ_A
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,4T+1D,0.21747,4,1,5,0,True,4R0D_A|6W7W_2|6ZJ3_LI|5T5H_B|1FFZ_A
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,3T+2D,0.21747,3,2,5,0,True,4R0D_A|6W7W_2|6ZJ3_LI|5T5H_B|1FFZ_A
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,2T,0.21747,2,0,2,0,True,4R0D_A|6W7W_2
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,1T+1D,0.21747,1,1,2,0,True,4R0D_A|6W7W_2
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,2D,0.21747,0,2,2,0,True,4R0D_A|6W7W_2
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,5T,0.22428,5,0,5,0,True,7O5H_A|6W7W_2|5T5H_B|6CHR_A|6C4H_A
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,4T+1D,0.22428,4,1,5,0,True,7O5H_A|6W7W_2|5T5H_B|6CHR_A|6C4H_A
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,3T+2D,0.22428,3,2,5,0,True,7O5H_A|6W7W_2|5T5H_B|6CHR_A|6C4H_A
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,2T,0.22428,2,0,2,0,True,7O5H_A|6W7W_2
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,1T+1D,0.22428,1,1,2,0,True,7O5H_A|6W7W_2
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,2D,0.22428,0,2,2,0,True,7O5H_A|6W7W_2
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,5T,0.30109,5,0,5,0,True,7SAM_A|5YZG_G|6N2V_A|7JQQ_K|4X0B_B
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,4T+1D,0.57018,4,1,4,1,True,7SAM_A|5YZG_G|6N2V_A|7JQQ_K|drfold2_e2e__cfg97_20ckpt_e2e__01
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,3T+2D,0.66446,3,2,3,2,True,7SAM_A|5YZG_G|6N2V_A|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,2T,0.30109,2,0,2,0,True,7SAM_A|5YZG_G
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,1T+1D,0.57018,1,1,1,1,True,7SAM_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,2D,0.66446,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,5T,0.31673,5,0,5,0,True,7SAM_A|4V7E_Ac|6OL3_C|6N2V_A|3D0U_A
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,4T+1D,0.57018,4,1,4,1,True,7SAM_A|4V7E_Ac|6OL3_C|6N2V_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,3T+2D,0.66446,3,2,3,2,True,7SAM_A|4V7E_Ac|6OL3_C|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,2T,0.27566,2,0,2,0,True,7SAM_A|4V7E_Ac
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,1T+1D,0.57018,1,1,1,1,True,7SAM_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,2D,0.66446,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,5T,0.25324,5,0,5,0,True,7OII_z|2NBX_A|7MQA_L2|5Z3G_B|3MUM_R
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,4T+1D,0.33644,4,1,4,1,True,7OII_z|2NBX_A|7MQA_L2|5Z3G_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,3T+2D,0.46997,3,2,3,2,True,7OII_z|2NBX_A|7MQA_L2|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,2T,0.24964,2,0,2,0,True,7OII_z|2NBX_A
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,1T+1D,0.33644,1,1,1,1,True,7OII_z|drfold2_e2e__cfg97_20ckpt_e2e__01
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,2D,0.46997,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,5T,0.27631,5,0,5,0,True,7MQA_L2|5Z3G_B|5T5H_G|4GXY_A|5ZWO_I
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,4T+1D,0.33644,4,1,4,1,True,7MQA_L2|5Z3G_B|5T5H_G|4GXY_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,3T+2D,0.46997,3,2,3,2,True,7MQA_L2|5Z3G_B|5T5H_G|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,2T,0.26111,2,0,2,0,True,7MQA_L2|5Z3G_B
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,1T+1D,0.33644,1,1,1,1,True,7MQA_L2|drfold2_e2e__cfg97_20ckpt_e2e__01
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,2D,0.46997,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,5T,0.21249,5,0,5,0,True,2MF0_G|1U9S_A|2NQP_F|7MQA_L2|3ADC_C
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,4T+1D,0.21249,4,1,4,1,True,2MF0_G|1U9S_A|2NQP_F|7MQA_L2|drfold2_e2e__cfg97_20ckpt_e2e__01
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,3T+2D,0.22893,3,2,3,2,True,2MF0_G|1U9S_A|2NQP_F|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,2T,0.21249,2,0,2,0,True,2MF0_G|1U9S_A
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,1T+1D,0.21249,1,1,1,1,True,2MF0_G|drfold2_e2e__cfg97_20ckpt_e2e__01
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,2D,0.22893,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,5T,0.2198,5,0,5,0,True,1U9S_A|7MQA_L2|2OM7_C|6B3K_R|5T5H_D
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,4T+1D,0.2198,4,1,4,1,True,1U9S_A|7MQA_L2|2OM7_C|6B3K_R|drfold2_e2e__cfg97_20ckpt_e2e__01
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,3T+2D,0.22893,3,2,3,2,True,1U9S_A|7MQA_L2|2OM7_C|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2T,0.2198,2,0,2,0,True,1U9S_A|7MQA_L2
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,1T+1D,0.2198,1,1,1,1,True,1U9S_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2D,0.22893,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,5T,0.22154,5,0,5,0,True,2MF0_G|1U9S_A|2NQP_F|7MQA_L2|3ADC_C
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,4T+1D,0.22154,4,1,4,1,True,2MF0_G|1U9S_A|2NQP_F|7MQA_L2|drfold2_e2e__cfg97_20ckpt_e2e__01
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,3T+2D,0.27034,3,2,3,2,True,2MF0_G|1U9S_A|2NQP_F|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,2T,0.22154,2,0,2,0,True,2MF0_G|1U9S_A
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,1T+1D,0.22154,1,1,1,1,True,2MF0_G|drfold2_e2e__cfg97_20ckpt_e2e__01
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,2D,0.27034,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,5T,0.23813,5,0,5,0,True,1U9S_A|7MQA_L2|2OM7_C|6B3K_R|5T5H_D
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,4T+1D,0.22411,4,1,4,1,True,1U9S_A|7MQA_L2|2OM7_C|6B3K_R|drfold2_e2e__cfg97_20ckpt_e2e__01
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,3T+2D,0.27034,3,2,3,2,True,1U9S_A|7MQA_L2|2OM7_C|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2T,0.22411,2,0,2,0,True,1U9S_A|7MQA_L2
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,1T+1D,0.22411,1,1,1,1,True,1U9S_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2D,0.27034,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
