target_id,sequence_cluster,length,tbm_base,allocation,candidate_n,mean_pairwise_self_tm,near_duplicate_pair_fraction_tm_ge_0_95,pair_n,requested_T,requested_D,realized_T,realized_D,complete
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,1T+1D,2,0.9118,0.0,1,1,1,2,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,1T+1D,2,0.29842,0.0,1,1,1,1,1,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,1T+1D,2,0.22296,0.0,1,1,1,1,1,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,1T+1D,2,0.20237,0.0,1,1,1,1,1,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,1T+1D,2,0.20237,0.0,1,1,1,1,1,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,2D,2,0.24986,0.0,1,0,2,0,2,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,2D,2,0.57357,0.0,1,0,2,0,2,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,2D,2,0.7126,0.0,1,0,2,0,2,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,2D,2,0.41642,0.0,1,0,2,0,2,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,2D,2,0.44774,0.0,1,0,2,0,2,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,2D,2,0.95405,1.0,1,0,2,0,2,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,2D,2,0.41311,0.0,1,0,2,0,2,True
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,2D,2,0.9118,0.0,1,0,2,2,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,2D,2,0.67746,0.0,1,0,2,0,2,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,2D,2,0.41867,0.0,1,0,2,0,2,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2D,2,0.22234,0.0,1,0,2,0,2,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2D,2,0.22234,0.0,1,0,2,0,2,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,2T,2,0.26661,0.0,1,2,0,2,0,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,2T,2,0.26317,0.0,1,2,0,2,0,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,2T,2,0.47463,0.0,1,2,0,2,0,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,2T,2,0.30695,0.0,1,2,0,2,0,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,2T,2,0.57692,0.0,1,2,0,2,0,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,2T,2,0.09308,0.0,1,2,0,2,0,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,2T,2,0.12372,0.0,1,2,0,2,0,True
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,2T,2,0.9118,0.0,1,2,0,2,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,2T,2,0.19301,0.0,1,2,0,2,0,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,2T,2,0.17046,0.0,1,2,0,2,0,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2T,2,0.16174,0.0,1,2,0,2,0,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,2T,2,0.16174,0.0,1,2,0,2,0,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,3T+2D,5,0.35120999999999997,0.0,10,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,3T+2D,5,0.4038690000000001,0.0,10,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,3T+2D,5,0.370919,0.0,10,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,3T+2D,5,0.22248799999999996,0.0,10,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,3T+2D,5,0.22595200000000001,0.0,10,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,3T+2D,5,0.21818999999999997,0.1,10,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,3T+2D,5,0.189295,0.0,10,3,2,3,2,True
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,3T+2D,5,0.277449,0.0,10,3,2,5,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,3T+2D,5,0.287732,0.0,10,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,3T+2D,5,0.24011100000000002,0.0,10,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,3T+2D,5,0.193213,0.0,10,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,3T+2D,5,0.193213,0.0,10,3,2,3,2,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,4T+1D,5,0.49735199999999996,0.1,10,4,1,4,1,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,4T+1D,5,0.4972390000000001,0.1,10,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,4T+1D,5,0.250832,0.0,10,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,4T+1D,5,0.17396499999999998,0.0,10,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,4T+1D,5,0.19451899999999997,0.0,10,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,4T+1D,5,0.124669,0.0,10,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,4T+1D,5,0.153512,0.0,10,4,1,4,1,True
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,4T+1D,5,0.277449,0.0,10,4,1,5,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,4T+1D,5,0.229944,0.0,10,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,4T+1D,5,0.20603500000000002,0.0,10,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,4T+1D,5,0.20275500000000002,0.0,10,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,4T+1D,5,0.20275500000000002,0.0,10,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,5T,5,0.647655,0.1,10,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,5T,5,0.646363,0.1,10,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,5T,5,0.19412100000000002,0.0,10,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,5T,5,0.155585,0.0,10,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,5T,5,0.18574,0.0,10,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,5T,5,0.116474,0.0,10,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,5T,5,0.17027199999999998,0.0,10,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,V3_EXACT_RAW,5T,5,0.277449,0.0,10,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,V3_EXACT_RAW,5T,5,0.20475400000000002,0.0,10,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,V3_EXACT_RAW,5T,5,0.166151,0.0,10,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,5T,5,0.21559399999999998,0.0,10,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,V3_EXACT_RAW,5T,5,0.21559399999999998,0.0,10,5,0,5,0,True
