target_id,cluster_id,bank,n_candidates,best_tm,mean_pairwise_self_tm,near_duplicate_pair_fraction,source_available,fallback_slots
9G6K_l9,9G6K_l9,2D,2,0.13538,0.44607,0.0,True,0
9G6K_lA,9G6K_lA,5T,5,0.21189,0.384329,0.1,True,0
9G6K_lA,9G6K_lA,3T+2D,5,0.28777,0.31448,0.0,True,0
9G6K_lA,9G6K_lA,2T,2,0.1153,0.58175,0.0,True,0
9G6K_lA,9G6K_lA,1T+1D,2,0.21298,0.13914,0.0,True,0
9G6K_lA,9G6K_lA,2D,2,0.28777,0.30414,0.0,True,0
9G6K_lB,9G6K_lB,5T,5,0.11442,0.479299,0.1,True,0
9G6K_lB,9G6K_lB,3T+2D,5,0.12374,0.34676499999999993,0.0,True,0
9G6K_lB,9G6K_lB,2T,2,0.09156,0.71632,0.0,True,0
9G6K_lB,9G6K_lB,1T+1D,2,0.10962,0.12627,0.0,True,0
9G6K_lB,9G6K_lB,2D,2,0.12374,0.67889,0.0,True,0
9G6K_lK,9G6K_lK,5T,5,0.16384,0.158302,0.0,True,0
9G6K_lK,9G6K_lK,3T+2D,5,0.16384,0.18636400000000003,0.0,True,0
9G6K_lK,9G6K_lK,2T,2,0.16384,0.1422,0.0,True,0
9G6K_lK,9G6K_lK,1T+1D,2,0.16384,0.13746,0.0,True,0
9G6K_lK,9G6K_lK,2D,2,0.11489,0.53639,0.0,True,0
8UP5_T,8UP5_T,5T,5,0.81116,0.5877570000000001,0.1,True,0
8UP5_T,8UP5_T,3T+2D,5,0.81116,0.7101129999999999,0.0,True,0
8UP5_T,8UP5_T,2T,2,0.81116,0.75446,0.0,True,0
8UP5_T,8UP5_T,1T+1D,2,0.81116,0.75674,0.0,True,0
8UP5_T,8UP5_T,2D,2,0.69628,0.87813,0.0,True,0
9D85_T,8UP5_T,5T,5,0.66869,0.5877570000000001,0.1,True,0
9D85_T,8UP5_T,3T+2D,5,0.66869,0.7101129999999999,0.0,True,0
9D85_T,8UP5_T,2T,2,0.66869,0.75446,0.0,True,0
9D85_T,8UP5_T,1T+1D,2,0.66869,0.75674,0.0,True,0
9D85_T,8UP5_T,2D,2,0.58253,0.87813,0.0,True,0
8Y03_G,8Y03_G,5T,5,0.50607,0.775111,0.2,True,0
8Y03_G,8Y03_G,3T+2D,5,0.50607,0.51299,0.1,True,0
8Y03_G,8Y03_G,2T,2,0.50607,0.90092,0.0,True,0
8Y03_G,8Y03_G,1T+1D,2,0.50607,0.3297,0.0,True,0
8Y03_G,8Y03_G,2D,2,0.3006,0.41044,0.0,True,0
8Y08_B,8Y03_G,5T,5,0.86188,0.775111,0.2,True,0
8Y08_B,8Y03_G,3T+2D,5,0.86188,0.51299,0.1,True,0
8Y08_B,8Y03_G,2T,2,0.86188,0.90092,0.0,True,0
8Y08_B,8Y03_G,1T+1D,2,0.84563,0.3297,0.0,True,0
8Y08_B,8Y03_G,2D,2,0.34027,0.41044,0.0,True,0
8Y0B_B,8Y0B_B,5T,5,0.70397,0.326747,0.0,True,0
8Y0B_B,8Y0B_B,3T+2D,5,0.70397,0.3853289999999999,0.0,True,0
8Y0B_B,8Y0B_B,2T,2,0.70397,0.6422,0.0,True,0
8Y0B_B,8Y0B_B,1T+1D,2,0.66809,0.2662,0.0,True,0
8Y0B_B,8Y0B_B,2D,2,0.28826,0.37073,0.0,True,0
8RR3_T,8RR3_T,5T,5,0.40886,0.489341,0.0,True,0
8RR3_T,8RR3_T,3T+2D,5,0.40886,0.42423500000000003,0.0,True,0
8RR3_T,8RR3_T,2T,2,0.40886,0.9074,0.0,True,0
8RR3_T,8RR3_T,1T+1D,2,0.40886,0.22797,0.0,True,0
8RR3_T,8RR3_T,2D,2,0.27719,0.33438,0.0,True,0
