chain_key,pdb_id,chain_id,release_date,length,resolved_c1_count,normalized_sequence_sha256,sequence_coordinate_sha256,db_controlled_included
1AL5_A,1AL5,A,1997-12-17,12,12,1567f98321ecdcbf65059e387ee3689831fef34f3944e491d568e603f4ea912e,77967edc418a08aa42b6014d17cc14d1152d8ac1a23f0e49950e784481e79d47,True
1AL5_B,1AL5,B,1997-12-17,12,12,1567f98321ecdcbf65059e387ee3689831fef34f3944e491d568e603f4ea912e,11111472f264fdf493e6cff0475b494e1dae637046a845ac7d7e813ba32284d5,True
1AM0_A,1AM0,A,1997-07-23,16,16,b7c8018cb3c1ad80da25ef89c0c3a9331fc459e7ef4cbdcc32866ad9392ca46a,b62d78b9e2efdb7e92fc875c4db97c9f6e228fa6c83e39d4d172b94c427951c5,True
1ANR_A,1ANR,A,1997-01-11,29,29,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52,8b3d51d6bac1adeb8f06b368c571762f7f05f0197f19f2e8ab52f311025f359b,True
1AQ3_R,1AQ3,R,1997-12-24,16,16,c8b188d4ed3d5fee26930e515545bf2cff074729ce9f9e1515b57ef998507ccb,586875ea01e0c09aa51cee1eb2829c9c38d5374960e22121ea6e80663f01b4f6,True
1AQ3_S,1AQ3,S,1997-12-24,12,12,81485d1fbc13b622722e049c71a56735b285664da2d050b11be4e7d438398f36,c16a9893f8076ce0cf1c25bcf8356ba4cbe7685064952df74a83a78c7546a92a,True
1AQ4_R,1AQ4,R,1997-12-24,16,16,c8b188d4ed3d5fee26930e515545bf2cff074729ce9f9e1515b57ef998507ccb,48f7fb8aa5087bf16ebe1283171ea6c50e83691e71566dfa68a568ac15e7cb55,True
1AQ4_S,1AQ4,S,1997-12-24,14,14,5f12936aa0b08ba183e03f4ad41b4fda3868ebfee4069b40add1baedbc6447cb,e6641c1a58d17af9047a574c59c95d68ad80d2608995c0570808af0f1974d462,True
1AQO_A,1AQO,A,1998-02-04,29,29,27a22b896afad950ef14e5c3884f09b8d6ba68e0a19906d3b36553080cd5e6ee,6c50e05f087d4cfcb443e6e6601ca334c0a27fb8e67a69d11064f882d811fa05,True
1ARJ_N,1ARJ,N,1996-11-08,29,29,009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52,2c500d8b5a8da7b70046e13a03d4896e1cc40623959e5fe05d68943e8ee811ef,True
1ASY_R,1ASY,R,1995-05-08,75,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde,08e985638478b4ab812b21901cf69baedf42eb83f9293b34d531c25e6ee4f826,True
1ASY_S,1ASY,S,1995-05-08,75,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde,258a0d99a50ad449e7a70449263cea1f56a316d25e137b567e3e512cdef874e0,True
1ASZ_R,1ASZ,R,1995-05-08,75,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde,e3fc4b931f703006042dfcfcd39373c25b2304ca2a5f4fff988644bf8358a4a8,True
1ASZ_S,1ASZ,S,1995-05-08,75,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde,e30a0c5a2a2d0b023c445d72cba2565ec63dd13e107809ec2de48b7353044b85,True
1ATO_A,1ATO,A,1997-11-12,19,19,ca2c4da2f757302f9188b5d82998954c063caa6d3b211f710f1e42879818e5cc,1713477c2bee49fb678438b57fc307d0113a7667d84d846a5fe019ab13c32d81,True
1ATV_A,1ATV,A,1998-02-25,17,17,cfd60936d04c709571afb7850defeb3fc21ea7ede83b192897b4bee7806328d0,676611c08730fc9e8af658551c4a3c7351b3525b5be78c5fa94669f3a5f9bf85,True
1ATW_A,1ATW,A,1998-02-25,15,15,7ef4f8bbdf149860329cd58dbf8cd70f6829098c162285ec3365884a0309695a,743af31a43a5f71931e807fb36cad3a12b5cc90eda9df592a87c621e082bc05c,True
1AUD_B,1AUD,B,1998-02-25,30,30,f925791fcc4e9992ef3259d6c520baea7731d3c674ad5625b0e59fffbc53b67e,8b67d4763cbe47d53f98117b70cc98336c1cbee50b920157ab32c0395ae5f3b1,True
1AV6_B,1AV6,B,1998-02-25,6,6,4ddab60161eaca0eaed2afb22ca56b0d71662355b7eb4a225245dd0533fa9a84,f215557dbbae924fd68313b0579b23dbef672261efe209d8f19099ebef0b90d3,True
1B23_R,1B23,R,1998-12-07,74,74,7ea1d910e49d8f55f4c97f563ea2a79dc436a400ec1a4df3ad8618f94a388cd4,ccd1b4c4b7f7ac860fea73c38e3cccf369e14a49acc584b0c603f8c9c5154f27,True
1B2M_C,1B2M,C,1999-03-25,2,2,86856a090297ec6f5f6a6eb3b7b7837f79cd941ea499c5a8b4c0bc9bced1b1ca,00d4f42aebb4ccd02d8ea87e56e4691ab7fb90262e6d32925c7308176e91a3d3,True
1B2M_D,1B2M,D,1999-03-25,2,2,86856a090297ec6f5f6a6eb3b7b7837f79cd941ea499c5a8b4c0bc9bced1b1ca,3eef26ffcf825962c8e8f33f560157658d16fea350b41289e55576c18a674175,True
1B2M_E,1B2M,E,1999-03-25,2,2,86856a090297ec6f5f6a6eb3b7b7837f79cd941ea499c5a8b4c0bc9bced1b1ca,6ee9790c67533d955a4df79fd5240b0c3d3edd28faa6c82d1d4a04c122a816d7,True
1B36_A,1B36,A,1998-12-23,38,38,bc5277436539450514b6d04bd0fe22632b4e0556da97bad4d5a9c01de9cbda7b,615914793b522a8a6b41bcdfcd2d5a163ff07e6670e3a075ecbd70fe20758a32,True
1B7F_P,1B7F,P,1999-05-03,12,12,2740817d9dfc6b83d9164bcfb4de0f8894d54d9f5d0304ac11f801122f54b895,6890882dbd30fc7148f303e218925f4f793d3d50cdd543f1b176c02f57d7369e,True
1B7F_Q,1B7F,Q,1999-05-03,12,12,2740817d9dfc6b83d9164bcfb4de0f8894d54d9f5d0304ac11f801122f54b895,62144ebcf9ae99defbe0eadaf3d72d6149f9d4a0126bbb08735a2e2ee581491e,True
1BAU_A,1BAU,A,1999-04-27,23,23,c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e,44f027409bf5dab9d2e0f2e04f54c0224eeaf90f10784e173395170a1a828439,True
1BAU_B,1BAU,B,1999-04-27,23,23,c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e,c3b10c329b0d663424a81bcd7d35b60f20daae04fa8a9356a69ecf5d70262edd,True
1BGZ_A,1BGZ,A,1999-01-13,23,23,ed915062c05f765ec53ec9765f0e5c8fd4c4264c8ad946226c799214741604ab,5af1d94997fd67fbe1c107d2fc7f9f282b19cdc8ad4b6b966f6dfdbf5d3e20f4,True
1BIV_A,1BIV,A,1996-12-23,28,28,bf5ce89b8b83f3b54f07d1d368adc57e3f40b2b95786fd33fac43ca3826bfd97,838b4c096a8c4a6208c9072b780e607db3bfee4a9c16c00cbc06e0d67691473a,True
1BJ2_A,1BJ2,A,1999-02-02,21,21,680cd13f14aa15969f7e433e9221946688a75a2a5bddf98e04db55147b6dec30,8304745b02fca9acff2fe080288455e91ddc7dfa9a57636c4f82ae8408106b7c,True
1BJ2_B,1BJ2,B,1999-02-02,19,19,cbc4d36be46b9bf42d39b2edbbc9ef81c20c528f6cacfacb2b5b31956768e8aa,4f0d88d7d6b86abb35cf1de1693f4d8b59c4f118341322530bf6389562bc3f8b,True
1BMV_M,1BMV,M,1989-10-09,11,11,5156225884506db88b661106453add6c85ed43cef1e54615f64445a0c652be68,6329de930883c249487a1cc27481c587e5acb3b9d6e13cb75309395b435d5bd9,True
1BN0_A,1BN0,A,1999-04-27,20,20,129f4fa29917a0c7906439dd5d1c0605103cc4da1c9ac07eeaf78b212229ac74,582656808bb4c47d3b2d0eedce3a65177b2bb1b1c34548b826b5a1aed727c1bc,True
1BR3_A,1BR3,A,1999-02-23,13,13,99f991fa5985c6878b513c297b7202a0f1c9411ad13603e245b310b2fd8de9a5,d54b2b8910ca5f38b1b9b2476bf2b302e5d3cd64228bc05a8916c81f3719c9c7,True
1BVJ_A,1BVJ,A,1998-12-09,23,23,2edb36641ac17962ade4b132ba860c5b7cd1da1e94a92f8466d50767b5b4e119,1b195c5e1a5baf0ca40b2816d49551044d9aabf8c0a3b53d3d47d2f7e6f10ea6,True
1BYJ_A,1BYJ,A,1999-10-29,27,27,bbdab9cde9655d13304e9bbf2ad29392e5c6e58541cc9dc473f29b7b529f1eed,dc482f21f0033ae083b5987ffbfaea4fea56e5daff355861c7b322dcfebab4b7,True
1BYX_A,1BYX,A,1999-10-20,8,8,7b8c11919aed67035cacbc6cfffcc111ea4095a1b73f40ebeaa9dc571436e733,2717934a6ff22f679e3e53a3b6e25120a46dcc22c155bed4c167b468e433f859,True
1BYX_B,1BYX,B,1999-10-20,8,8,6dd460b2b10b787012665d75e2daea90c4fe4ab8316a108bd3159f9fc8be4e5f,81df64698082a4c0623bb1c20a980ca9a438cd33242171521bf63f5775c58e94,True
1BZ2_A,1BZ2,A,1999-04-27,17,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,31bb373a857c6c39062357b57c4910ae49f1ad2a99ae5a4ec8cf30568155d835,True
1BZ3_A,1BZ3,A,1999-04-27,17,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,9279ef07903e9a5151f7c0fb85a0f2604f739cf859f3ec4c9545d6770a8b1f26,True
1BZT_A,1BZT,A,1999-04-27,17,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,c70373ac6f33ab08ec8797cfa528616cb38ef511b37792e111f8ae5294c2c92d,True
1BZU_A,1BZU,A,1999-04-27,17,17,3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836,840e80fbcd40f432ecf31cab1b10641ac3c9ea0a44326d7fdc7ab6d235cf511c,True
1C04_E,1C04,E,1999-08-31,58,58,23b2537cfb779a8ecbca46ecb0bc3e4185a9c4d268813c295c1bd784b9959745,25f8fde78144dab3dc7fb38a6ed153444e10f28413d58d186871909661452aa9,True
1C04_F,1C04,F,1999-08-31,29,29,adc5e0ee2c05f122192b1d21d988908aad3a7d468a901517a8fcd6701e165843,b05fa65aaf9ff0f23c1a0d251d6a365ec08867da0f0c62f45b3109584cac302b,True
1C0A_B,1C0A,B,1999-11-23,77,77,eb3b7b0c79383b6761703320f6c953b25376611e73aee9d0ec7ff2557a296b26,08f1d39263077d03453d962a2fc47390698f3540d84f25fdc6ba049b610291e7,True
1C0O_A,1C0O,A,1999-08-31,14,14,fcc8f2f91f85372551589a091e36a76411e056737c8fb1a405afbb2af44f410b,96c6114288385dbae6b54d4fcbce999f3898f9df8fa8561423c6ff2f91860b65,True
1C2Q_B,1C2Q,B,1999-11-29,9,9,bebdaa951f633693a1a4660f557741e288dd47c50dc4048ddff535fbcf237ac6,b1e73f8b9e900d065738e337235564b4d0a28d0193c7eb4056350bc488a55527,True
1C2W_B,1C2W,B,2000-04-10,2904,2904,552888d004ae1aa394c4d7223ff07823ffb2bb49515ea7d41e2eab8ea6857bac,921ed49fc9236fdfe5de896283a58808f9c82df65c9a8244bfa1abb6efc940e1,True
1C2X_C,1C2X,C,2000-04-10,120,120,377cc53522f8e6ba36bf361ed06ab1c9189430fb447e2b7f6d1e5967a725ff9d,2fb3ac1bd6cacdbf986577491a34c0842a7b7ebcc373471b731653d6bfaf66e9,True
1C4L_A,1C4L,A,2000-08-09,9,9,8932f299ffdccb9636db1eb2cfe748504c83b8df5f1434dd7f434f384143ea27,5aa3fe01751785f7c7dc6f8ba00d2ea59f7c4a396f4d47a16ab2535ea1705c90,True
1C4L_B,1C4L,B,2000-08-09,9,9,27aed5dc8d5d9ad086100735abe8e65a14cfc19841bf460ec7a3f252a7cd85d1,ff0f97ab57988fe95bf066bdadf63517f4cba2c9fe04f95878978e3eec328866,True
1C9S_W,1C9S,W,1999-09-15,55,55,3cce2232dd5abdf1f4f608be6d32d632097b76ebf9b1d844d0d48640ea9b3b46,3ae36cad14e94a880f43bc3b8394158f710c64abdd644fb3deac2e232db98202,True
1CGM_I,1CGM,I,1994-04-30,3,3,584cfa7096459ef7a42db98b89adb02bc7c4c23aa063c54d0bd70b6671c98c36,bf3897cce41dc82e29034e113d8095fdbed957db38d0c4b4201cf72ec9cb745d,True
1CQ5_A,1CQ5,A,1999-08-23,43,43,d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727,69ca0fbf5129aca519531032ac25ad55b435716dcf1c9f45667fd84178c46a54,True
1CQL_A,1CQL,A,2000-01-14,43,43,d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727,efe5103d852abab4a88d1fdab15ff287b6f3665ce20011f2b522ecb8b900eae9,True
1CSL_A,1CSL,A,2000-02-14,13,13,2b4adbe2a831693ac2f0567ccd5cb76c3ab54daafa59e1cdb040922566334994,fc9df1cc5259c0dc2cb78946c4f8166ec99fcce8b23bb941a5a7058c63b6a24d,True
1CSL_B,1CSL,B,2000-02-14,15,15,16fc92f1f265e611fc8ad9ac652831ef9ad806ae24b45434f59082cc6ae121e5,6fc144807d5191023ffeed9063025b3366eb4bf87979bb6c154ae223d4e00996,True
1CVJ_M,1CVJ,M,1999-10-04,9,9,e5f9176ecd90317cf2d4673926c9db65475b0b58e7f468586ddaef280a98cdbd,6d0c304f2932861aa79b92e018a77b9147ce6c6465c634bc4796e2ca6205f613,True
1CVJ_N,1CVJ,N,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,44cd526d42f8ce7108bb94558846500f22e0925df8a6f54a200445023543e416,True
1CVJ_O,1CVJ,O,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,3ad3a05ccb0ce18ce76bd8269baacc06e6f069450b26b4fda7f84532e11ff8f6,True
1CVJ_P,1CVJ,P,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,89d4a201737ac3dd04734be444724406692febd4ba1e221e3fe0591ddf9a36d1,True
1CVJ_Q,1CVJ,Q,1999-10-04,8,8,c34ab6abb7b2bb595bc25c3b388c872fd1d575819a8f55cc689510285e212385,0acb0f8710cd01d76349486487d78dd518a4c6067c1405a1c5cfaf8724fcb251,True
1CVJ_R,1CVJ,R,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,b258eadb8fc69fa6870580794554b900c65600ec786fbf26ea3a26ab73ff4f59,True
1CVJ_S,1CVJ,S,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,986cc2c162329d265f162b4210968faa2643d8c6ed6a9292e606e21f9cc77ff6,True
1CVJ_T,1CVJ,T,1999-10-04,7,7,0f0cf9286f065a2f38e3c4e4886578e35af4050c108e507998a05888c98667ea,a000adc1a990448958ac97f018570a41d54d651ccba7f201587490d68472739f,True
1CWP_D,1CWP,D,1995-05-22,4,4,da6ab64bb0014cb5514cd0220d7a6153f9e84b47fea3a781b095a3dc67c9f1fb,2e13a63e7ea51bc74b25f105173a3263e3afcaf6c698a484c56d95c6bee44d6c,True
1CWP_E,1CWP,E,1995-05-22,2,2,86936315fce40c126916c0c980e24be16cd8fd390243c6740f58c62d08cea336,6ebbe780b055a6be9456d6b4dfbe14ee30612d82e8496d5e46c855da9f38c5ac,True
1CWP_F,1CWP,F,1995-05-22,4,4,da6ab64bb0014cb5514cd0220d7a6153f9e84b47fea3a781b095a3dc67c9f1fb,0eb2ec3700ef6fec7762b12910bce03d4b2943a8d0b8c7207fd55c92f483e1cd,True
1CX5_B,1CX5,B,1999-09-14,12,12,378e943a3656977817d5cd719a6a2705f796b45c3d110b0580ff2ef2014ba9c1,2c924d8616ec2405f0b56dd2f18fc09f8a0e3d205215f0946e5a1efbed4d815e,True
1D0T_A,1D0T,A,2000-05-24,21,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9,33a664b0f6012b47538680ff70fd816970f41098e320ef331876689abe08de04,True
1D0U_A,1D0U,A,2000-05-24,21,21,35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9,bb9381ea0a05a9fe525baff00d88dda16fee43519cbcd4e0292241610f8c80ec,True
1D4R_A,1D4R,A,1999-12-02,29,29,839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc,360f8121a051897d19583c963db3e69686edc0a3febee0804cc2a0299493a36a,True
1D4R_B,1D4R,B,1999-12-02,29,28,839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc,e1a30d85b66b67554119e26d87dc7d8bdbfe349536615dc53644c1feba675eb8,True
1D4R_C,1D4R,C,1999-12-02,29,28,839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc,e979483d6919eaf03de2c67aa87e9fdc70d92262f27c53c3f35b61c19bdf0940,True
1D6K_B,1D6K,B,1999-11-22,37,37,a0b40068d8fea2386e26c72914bafc4eb3387a6dbea6f51c4f31aa80b1770c3a,937d09bf13c9d4be374817e771e3902cadeb194ecdc9689225e73de46d52974e,True
1DDL_D,1DDL,D,2000-10-30,7,7,192d717924efa8ba252bc43cd3213cccebf6c3fb18ce3810de499e60dd4a41e3,6a63c326460fdeb857e67dc3a701baf7c98baca3ee432fa38f575d9597333159,True
1DDL_E,1DDL,E,2000-10-30,2,2,70801eb4bac16df84658a7c0e49cbbf3b42d20c29d1a7f809f7cf6d31c76f2c2,53a80b3035865a4d2741187ea1d4fca8fe5133b881a1f21b7dad196d97d1301d,True
1DDY_A,1DDY,A,2000-01-01,35,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e,cfb5d472b31eedc467aa947618df1f5acb029434e146981095baf43292e7a079,True
1DDY_C,1DDY,C,2000-01-01,35,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e,07f17a558129cec3b4105e77f2b93035aaa5966c46c3621ba8d554d93408af67,True
1DDY_E,1DDY,E,2000-01-01,35,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e,4d0873c7e232e858ca7185cab59ef9ef38888ed4e587a9b962c4ff2dd46ccbc1,True
1DDY_G,1DDY,G,2000-01-01,35,35,6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e,a012b8ebfc41f3f69b6df7447b5765726a0534d378b9de9987c18cd3b3dc6d9a,True
1DFU_M,1DFU,M,1999-12-02,19,19,24ab9ee9748c33ecf76ce47157104cc37c855efbadba4a19ccc4969f3cdfde49,05a61e82dff80da4dab6e9ea36538fa7e16b42d4bf615f5c39e36e60d5cd78a1,True
1DFU_N,1DFU,N,1999-12-02,19,19,e7fd6c81fe72c17df4ed8869a45bd8ca676646584572d84a1323462f039d6003,a122f6405ea6c6d8edab08571dfd27f95afcd6558f829a69d23c2edfcf3cfad9,True
1DI2_C,1DI2,C,1999-12-02,10,10,276fe69f73dfe8ab7607678cd6e8befc496bf6798747c8de76ae66e4227b6515,7075ccd65bb3a58dbafcd1173068a2d1a30ec1f55546241b67f16cc0dd6a798c,True
1DI2_D,1DI2,D,1999-12-02,10,10,276fe69f73dfe8ab7607678cd6e8befc496bf6798747c8de76ae66e4227b6515,bc82254e1a714067c1e1b3b7d7acaba33391cb03c0e1746018aac8a73e50c47c,True
1DI2_E,1DI2,E,1999-12-02,10,10,276fe69f73dfe8ab7607678cd6e8befc496bf6798747c8de76ae66e4227b6515,e48f14b1c9f27361da972873b04751a29f15ab3f5ec3bff04bc77e5b9d37dc88,True
1DI2_G,1DI2,G,1999-12-02,10,10,276fe69f73dfe8ab7607678cd6e8befc496bf6798747c8de76ae66e4227b6515,1c632cd377488220effb72cb5dd69879be1c9bfec091caf2e49b7e47d5ccf45b,True
1DK1_B,1DK1,B,2000-04-02,57,57,a6b495c442a92f9fc34a1a6941859b0f77f0b7a8411aec8bdda50173771fe5ae,2285a53c79651354cf8be426f396a91a16e53227025494918464374f4a9645fe,True
1DQF_A,1DQF,A,2000-11-13,9,9,507a796c1c51a4f195f3dfab5daff07c9b6e77daf30517b086a20f5a7b0f11fa,aba7ddc7ea1fb20fffaf0a082c4421a476924c2fa859121031f11c0888414a6d,True
1DQF_B,1DQF,B,2000-11-13,10,10,e2ba89b7ac2fbfb601359080dc32bee9f170747165c109f11fb44f0766c195ed,3831debd8f77b3861d4970c8fa06833f955e77098e49cb2aa7fe93c1a51dae86,True
1DQH_A,1DQH,A,2000-11-13,9,9,507a796c1c51a4f195f3dfab5daff07c9b6e77daf30517b086a20f5a7b0f11fa,9aae66a4c3daf67963f678dad3af86c1249658cedf9117b8c5563f3521ca545e,True
1DQH_B,1DQH,B,2000-11-13,10,10,e2ba89b7ac2fbfb601359080dc32bee9f170747165c109f11fb44f0766c195ed,90e0c1c2923a6204868ac6a5a9acc29748ccde06aafb3cb95683fec442fee808,True
1DRR_B,1DRR,B,1998-04-22,10,10,d6b65183df2ab83d0edfa97c5856bd32d14542db6fa93cd12e590bf226034c98,b076a59f327fdbf98e17949338e933477b407d170494b0224ca917352e5ba31b,True
